0,1,2,3
R36,HO2,R445,CH2O
R36,HO2,R445,OH
R36,HO2,R449,CH2O
R36,HO2,R449,OH
R36,HO2,R453,OH
R36,HO2,R461,OH
R36,HO2,R468,OH
R36,HO2,R469,CH2O
R36,HO2,R469,OH
R36,HO2,R474,OH
R36,HO2,R476,OH
R36,HO2,R488,CH2O
R36,HO2,R488,OH
R36,HO2,R492,CH2O
R36,HO2,R492,OH
R36,HO2,R497,CH2O
R36,HO2,R497,OH
R36,HO2,R500,CH2O
R36,HO2,R500,OH
R36,HO2,R507,CH2O
R36,HO2,R507,OH
R36,HO2,R534,CH2O
R36,HO2,R534,OH
R36,HO2,R535,CH2O
R36,HO2,R535,OH
R36,HO2,R543,OH
R36,HO2,R546,OH
R36,HO2,R559,OH
R36,HO2,R562,OH
R36,HO2,R570,CH2O
R36,HO2,R570,OH
R36,HO2,R573,CH2O
R36,HO2,R573,OH
R36,HO2,R574,CH2O
R36,HO2,R574,OH
R36,HO2,R581,OH
R36,HO2,R633,OH
R46,HO2,R15,OH
R46,HO2,R22,OH
R46,HO2,R44,OH
R46,HO2,R89,OH
R46,HO2,R90,OH
R46,HO2,R113,OH
R46,HO2,R204,OH
R46,HO2,R216,OH
R46,HO2,R401,OH
R46,HO2,R403,OH
R46,HO2,R445,OH
R46,HO2,R449,OH
R46,HO2,R453,OH
R46,HO2,R461,OH
R46,HO2,R468,OH
R46,HO2,R469,OH
R46,HO2,R474,OH
R46,HO2,R476,OH
R46,HO2,R488,OH
R46,HO2,R492,OH
R46,HO2,R497,OH
R46,HO2,R500,OH
R46,HO2,R507,OH
R46,HO2,R534,OH
R46,HO2,R535,OH
R46,HO2,R543,OH
R46,HO2,R546,OH
R46,HO2,R559,OH
R46,HO2,R562,OH
R46,HO2,R570,OH
R46,HO2,R573,OH
R46,HO2,R574,OH
R46,HO2,R581,OH
R46,HO2,R633,OH
R49,HO2,R15,OH
R49,HO2,R22,OH
R49,HO2,R44,OH
R49,HO2,R89,OH
R49,HO2,R90,OH
R49,HO2,R113,OH
R49,HO2,R204,OH
R49,HO2,R216,OH
R49,HO2,R401,OH
