species index (starts from 1),from,to,stoichiometric value 
262,R166,CH2O,1.000000
263,R166,MO2,1.000000
283,NO3,R166,1.000000
286,R166,SO2,1.000000
35,R167,PSO4,1.000000
108,R167,SO4,1.000000
279,OH,R167,1.000000
281,R167,HO2,1.000000
286,SO2,R167,1.000000
32,R168,LOx,1.000000
269,O3,R168,1.000000
274,R168,BrO,1.000000
287,Br,R168,1.000000
256,R169,HOBr,1.000000
274,BrO,R169,1.000000
281,HO2,R169,1.000000
272,R170,HBr,1.000000
281,HO2,R170,1.000000
287,Br,R170,1.000000
272,HBr,R171,1.000000
273,R171,H2O,1.000000
279,OH,R171,1.000000
287,R171,Br,1.000000
274,BrO,R172,2.000000
287,R172,Br,2.000000
124,R173,Br2,1.000000
274,BrO,R173,2.000000
270,R174,NO2,1.000000
274,BrO,R174,1.000000
280,NO,R174,1.000000
287,R174,Br,1.000000
124,R175,Br2,1.000000
172,BrNO3,R175,1.000000
283,R175,NO3,1.000000
287,Br,R175,1.000000
124,Br2,R176,1.000000
256,R176,HOBr,1.000000
279,OH,R176,1.000000
287,R176,Br,1.000000
256,HOBr,R177,1.000000
274,R177,BrO,1.000000
279,R177,OH,1.000000
284,O,R177,1.000000
272,HBr,R178,1.000000
279,R178,OH,1.000000
284,O,R178,1.000000
287,R178,Br,1.000000
274,BrO,R179,1.000000
279,OH,R179,1.000000
281,R179,HO2,1.000000
287,R179,Br,1.000000
270,R180,NO2,1.000000
274,R180,BrO,1.000000
283,NO3,R180,1.000000
287,Br,R180,1.000000
33,R181,PCO,1.000000
258,R181,CO,1.000000
262,CH2O,R181,1.000000
272,R181,HBr,1.000000
281,R181,HO2,1.000000
287,Br,R181,1.000000
257,R182,MCO3,1.000000
261,ALD2,R182,1.000000
272,R182,HBr,1.000000
287,Br,R182,1.000000
219,ACET,R183,1.000000
248,R183,ATO2,1.000000
272,R183,HBr,1.000000
287,Br,R183,1.000000
157,C2H6,R184,1.000000
213,R184,ETO2,1.000000
272,R184,HBr,1.000000
287,Br,R184,1.000000
121,C3H8,R185,1.000000
233,R185,A3O2,1.000000
272,R185,HBr,1.000000
287,Br,R185,1.000000
50,R186,BrNO2,1.000000
270,NO2,R186,1.000000
287,Br,R186,1.000000
172,R187,BrNO3,1.000000
270,NO2,R187,1.000000
274,BrO,R187,1.000000
74,CHBr3,R188,1.000000
279,OH,R188,1.000000
287,R188,Br,3.000000
70,CH2Br2,R189,1.000000
279,OH,R189,1.000000
287,R189,Br,2.000000
97,CH3Br,R190,1.000000
273,R190,H2O,1.000000
279,OH,R190,1.000000
281,R190,HO2,1.000000
287,R190,Br,1.000000
268,O1D,R191,1.000000
273,H2O,R191,1.000000
279,R191,OH,2.000000
268,O1D,R192,1.000000
284,R192,O,1.000000
268,O1D,R193,1.000000
284,R193,O,1.000000
173,R194,H,1.000000
268,O1D,R194,1.000000
279,R194,OH,1.000000
57,N2O,R195,1.000000
268,O1D,R195,1.000000
57,N2O,R196,1.000000
268,O1D,R196,1.000000
280,R196,NO,2.000000
36,R197,LCH4,1.000000
186,CH4,R197,1.000000
263,R197,MO2,1.000000
268,O1D,R197,1.000000
279,R197,OH,1.000000
36,R198,LCH4,1.000000
186,CH4,R198,1.000000
262,R198,CH2O,1.000000
268,O1D,R198,1.000000
36,R199,LCH4,1.000000
173,R199,H,1.000000
186,CH4,R199,1.000000
262,R199,CH2O,1.000000
268,O1D,R199,1.000000
281,R199,HO2,1.000000
31,R200,POx,1.000000
269,R200,O3,1.000000
284,O,R200,1.000000
32,R201,LOx,1.000000
269,O3,R201,1.000000
284,O,R201,1.000000
173,R202,H,1.000000
273,R202,H2O,1.000000
279,OH,R202,1.000000
173,R203,H,1.000000
279,OH,R203,1.000000
284,O,R203,1.000000
279,R204,OH,1.000000
281,HO2,R204,1.000000
284,O,R204,1.000000
32,R205,LOx,1.000000
268,O1D,R205,1.000000
269,O3,R205,1.000000
32,R206,LOx,1.000000
268,O1D,R206,1.000000
269,O3,R206,1.000000
284,R206,O,2.000000
33,R207,PCO,1.000000
62,OCS,R207,1.000000
258,R207,CO,1.000000
284,O,R207,1.000000
286,R207,SO2,1.000000
6,R208,CO2,1.000000
62,OCS,R208,1.000000
279,OH,R208,1.000000
286,R208,SO2,1.000000
270,NO2,R209,1.000000
280,R209,NO,1.000000
284,O,R209,1.000000
270,R210,NO2,1.000000
283,NO3,R210,1.000000
284,O,R210,1.000000
270,R211,NO2,1.000000
280,NO,R211,1.000000
284,O,R211,1.000000
270,NO2,R212,1.000000
283,R212,NO3,1.000000
284,O,R212,1.000000
208,H2O2,R213,1.000000
279,R213,OH,1.000000
281,R213,HO2,1.000000
284,O,R213,1.000000
173,H,R214,1.000000
281,R214,HO2,1.000000
32,R215,LOx,1.000000
173,H,R215,1.000000
269,O3,R215,1.000000
279,R215,OH,1.000000
173,H,R216,1.000000
279,R216,OH,2.000000
281,HO2,R216,1.000000
173,H,R217,1.000000
273,R217,H2O,1.000000
281,HO2,R217,1.000000
284,R217,O,1.000000
173,H,R218,1.000000
281,HO2,R218,1.000000
61,N,R219,1.000000
280,R219,NO,1.000000
284,R219,O,1.000000
61,N,R220,1.000000
280,NO,R220,1.000000
284,R220,O,1.000000
57,R221,N2O,1.000000
61,N,R221,1.000000
270,NO2,R221,1.000000
284,R221,O,1.000000
274,BrO,R222,1.000000
284,O,R222,1.000000
287,R222,Br,1.000000
33,R223,PCO,1.000000
258,R223,CO,1.000000
262,CH2O,R223,1.000000
279,R223,OH,1.000000
281,R223,HO2,1.000000
284,O,R223,1.000000
173,R224,H,0.240000
268,O1D,R224,1.000000
271,HCl,R224,0.910000
277,R224,ClO,0.240000
279,R224,OH,0.670000
284,R224,O,0.090000
285,R224,Cl,0.670000
173,R225,H,0.150000
268,O1D,R225,1.000000
